Author,BSB Catalog,By,Creation,Digital Object Identifier,Extent,Height,Identifier,Label,Language,Location,Object Type,Preferred title of work,Thumbnail,Title,Width
,<a href='https://opacplus.bsb-muenchen.de/title/BV021806120'>https://opacplus.bsb-muenchen.de/title/BV021806120</a>,,"[S.l.], 15. Jh.",<a href='https://nbn-resolving.org/urn:nbn:de:bvb:12-bsb00006310-5'>urn:nbn:de:bvb:12-bsb00006310-5</a>,401 Bl. - Papier,34.654240384050745,BSB-Hss Clm 8103,Innocentii papae super officio missae liber [u.a.] - BSB Clm 8103,Latin,"München, Bayerische Staatsbibliothek -- Clm 8103",Buch,,"https://api.digitale-sammlungen.de/iiif/image/v2/bsb00006310_00003/full/280,/0/default.jpg",Innocentii papae super officio missae liber [u.a.] - BSB Clm 8103,22.307549999999996
,<a href='https://opacplus.bsb-muenchen.de/title/BV040196625'>https://opacplus.bsb-muenchen.de/title/BV040196625</a>,,"[S.l.], 14./15. Jh.",<a href='https://nbn-resolving.org/urn:nbn:de:bvb:12-bsb00088321-5'>urn:nbn:de:bvb:12-bsb00088321-5</a>,40 Bl. - Pergament,41.29740596462803,BSB-Hss Cgm 4,"Christherre-Chronik, die zweite, dem Landgrafen Heinrich von Thüringen gewidmete, pseudo-rudolfische Rezension der Weltchronik, - unvollständig, nur bis Esau reichend - BSB Cgm 4","German, Middle High (ca.1050-1500)","München, Bayerische Staatsbibliothek -- Cgm 4",Buch,,"https://api.digitale-sammlungen.de/iiif/image/v2/bsb00088321_00003/full/280,/0/default.jpg","Christherre-Chronik, die zweite, dem Landgrafen Heinrich von Thüringen gewidmete, pseudo-rudolfische Rezension der Weltchronik, - unvollständig, nur bis Esau reichend - BSB Cgm 4",29.724349999999998
,<a href='https://opacplus.bsb-muenchen.de/title/BV022359087'>https://opacplus.bsb-muenchen.de/title/BV022359087</a>,,"[S.l.], 15. Jh.",<a href='https://nbn-resolving.org/urn:nbn:de:bvb:12-bsb00009579-3'>urn:nbn:de:bvb:12-bsb00009579-3</a>,331 Bl. - Papier,22.189495823433756,BSB-Hss Cod.graec. 255,Theologische Sammelhandschrift - BSB Cod.graec. 255,"Greek, Ancient (to 1453)","München, Bayerische Staatsbibliothek -- Cod.graec. 255",Buch,,"https://api.digitale-sammlungen.de/iiif/image/v2/bsb00009579_00003/full/280,/0/default.jpg",Theologische Sammelhandschrift - BSB Cod.graec. 255,15.748000000000001
,<a href='https://opacplus.bsb-muenchen.de/title/BV022526638'>https://opacplus.bsb-muenchen.de/title/BV022526638</a>,,"[S.l.], 15. Jh.",<a href='https://nbn-resolving.org/urn:nbn:de:bvb:12-bsb00012919-0'>urn:nbn:de:bvb:12-bsb00012919-0</a>,305 Bl. - Papier,22.269052651416857,BSB-Hss Clm 8957,Sermones - BSB Clm 8957,Latin,"München, Bayerische Staatsbibliothek -- Clm 8957",Buch,,"https://api.digitale-sammlungen.de/iiif/image/v2/bsb00012919_00003/full/280,/0/default.jpg",Sermones - BSB Clm 8957,15.601949999999999
,<a href='https://opacplus.bsb-muenchen.de/title/BV022546054'>https://opacplus.bsb-muenchen.de/title/BV022546054</a>,,"[S.l.], 15. Jh.",<a href='https://nbn-resolving.org/urn:nbn:de:bvb:12-bsb00013316-7'>urn:nbn:de:bvb:12-bsb00013316-7</a>,360 Bl. - Papier,22.4940340641068,BSB-Hss Clm 5922,Bartholomaei ordinis Praedicatorum Wiennae sermones - BSB Clm 5922,Latin,"München, Bayerische Staatsbibliothek -- Clm 5922",Buch,,"https://api.digitale-sammlungen.de/iiif/image/v2/bsb00013316_00003/full/280,/0/default.jpg",Bartholomaei ordinis Praedicatorum Wiennae sermones - BSB Clm 5922,14.6558
,<a href='https://opacplus.bsb-muenchen.de/title/BV021831369'>https://opacplus.bsb-muenchen.de/title/BV021831369</a>,,"[S.l.] Deutschland oder Frankreich, Anfang 15. Jh. (?)",<a href='https://nbn-resolving.org/urn:nbn:de:bvb:12-bsb00006568-4'>urn:nbn:de:bvb:12-bsb00006568-4</a>,161 Bl. - Pergament,36.34389631331988,BSB-Hss Cod.hebr. 140,Talmud - BSB Cod.hebr. 140,Hebrew,"München, Bayerische Staatsbibliothek -- Cod.hebr. 140",Buch,,"https://api.digitale-sammlungen.de/iiif/image/v2/bsb00006568_00003/full/280,/0/default.jpg",Talmud - BSB Cod.hebr. 140,28.441650000000006
,<a href='https://opacplus.bsb-muenchen.de/title/BV021838306'>https://opacplus.bsb-muenchen.de/title/BV021838306</a>,,"[S.l.] Schlesisch?, 1. Hälfte 15. Jh.",<a href='https://nbn-resolving.org/urn:nbn:de:bvb:12-bsb00006623-2'>urn:nbn:de:bvb:12-bsb00006623-2</a>,22 Bl. - Papier,32.84394902337187,BSB-Hss Clm 28454,Sermones. Galvanus de Bettino(?) - BSB Clm 28454,Latin,"München, Bayerische Staatsbibliothek -- Clm 28454",Buch,,"https://api.digitale-sammlungen.de/iiif/image/v2/bsb00006623_00003/full/280,/0/default.jpg",Sermones. Galvanus de Bettino(?) - BSB Clm 28454,22.61235000000001
,<a href='https://opacplus.bsb-muenchen.de/title/BV021836102'>https://opacplus.bsb-muenchen.de/title/BV021836102</a>,,"[S.l.], 15. Jh.",<a href='https://nbn-resolving.org/urn:nbn:de:bvb:12-bsb00006632-2'>urn:nbn:de:bvb:12-bsb00006632-2</a>,61 Bl. - Papier,16.081235019297143,BSB-Hss Clm 28814,"Conclusiones primi, secundi, tercii, quarti libri sentenciarum - BSB Clm 28814",Latin,"München, Bayerische Staatsbibliothek -- Clm 28814#Beibd.1",Buch,,"https://api.digitale-sammlungen.de/iiif/image/v2/bsb00006632_00003/full/280,/0/default.jpg","Conclusiones primi, secundi, tercii, quarti libri sentenciarum - BSB Clm 28814",12.217399999999998
"<span>Ovidius Naso, Publius -- (GND: <a href='http://d-nb.info/gnd/118590995/'>118590995</a>)</span>",<a href='https://opacplus.bsb-muenchen.de/title/BV022191083'>https://opacplus.bsb-muenchen.de/title/BV022191083</a>,,"[S.l.], 15. Jh.",<a href='https://nbn-resolving.org/urn:nbn:de:bvb:12-bsb00006781-8'>urn:nbn:de:bvb:12-bsb00006781-8</a>,229 Bl. - Papier,27.948597506211215,BSB-Hss Clm 23717,"Ovidius Naso, Publius: Ovidii Metamorphoseon libri XV [u.a.] - BSB Clm 23717",Latin,"München, Bayerische Staatsbibliothek -- Clm 23717#Mikroform",Buch,,"https://api.digitale-sammlungen.de/iiif/image/v2/bsb00006781_00003/full/280,/0/default.jpg",Ovidii Metamorphoseon libri XV [u.a.] - BSB Clm 23717,19.97286666666667
"<span>Ovidius Naso, Publius -- (GND: <a href='http://d-nb.info/gnd/118590995/'>118590995</a>)</span>",<a href='https://opacplus.bsb-muenchen.de/title/BV022191095'>https://opacplus.bsb-muenchen.de/title/BV022191095</a>,,"Florenz, 15. Jh.",<a href='https://nbn-resolving.org/urn:nbn:de:bvb:12-bsb00006786-4'>urn:nbn:de:bvb:12-bsb00006786-4</a>,216 Bl. - Pergament,15.680056591003398,BSB-Hss Clm 927,"Ovidius Naso, Publius: Ovidii Nasonis Metamorphoseon libri XV - BSB Clm 927",Latin,"München, Bayerische Staatsbibliothek -- Clm 927#Mikroform",Buch,,"https://api.digitale-sammlungen.de/iiif/image/v2/bsb00006786_00003/full/280,/0/default.jpg",Ovidii Nasonis Metamorphoseon libri XV - BSB Clm 927,8.3566
,<a href='https://opacplus.bsb-muenchen.de/title/BV022266556'>https://opacplus.bsb-muenchen.de/title/BV022266556</a>,,,<a href='https://nbn-resolving.org/urn:nbn:de:bvb:12-bsb00008264-8'>urn:nbn:de:bvb:12-bsb00008264-8</a>,291 Bl. - Papier,22.656519210653652,BSB-Hss Clm 15177,"Sermones diversi, miracula et exempla, inter quae Bartholomaei cum aurea gutta quaestiones [u.a.] - BSB Clm 15177",Latin,"München, Bayerische Staatsbibliothek -- Clm 15177",Buch,,"https://api.digitale-sammlungen.de/iiif/image/v2/bsb00008264_00003/full/280,/0/default.jpg","Sermones diversi, miracula et exempla, inter quae Bartholomaei cum aurea gutta quaestiones [u.a.] - BSB Clm 15177",14.579600000000001
,<a href='https://opacplus.bsb-muenchen.de/title/BV022269566'>https://opacplus.bsb-muenchen.de/title/BV022269566</a>,,"[S.l.], 15. Jh.",<a href='https://nbn-resolving.org/urn:nbn:de:bvb:12-bsb00008415-7'>urn:nbn:de:bvb:12-bsb00008415-7</a>,,16.692342292165197,BSB-Hss Clm 5694,Breviarium - BSB Clm 5694,Latin,"München, Bayerische Staatsbibliothek -- Clm 5694",Buch,,"https://api.digitale-sammlungen.de/iiif/image/v2/bsb00008415_00003/full/280,/0/default.jpg",Breviarium - BSB Clm 5694,10.693399999999999
"<span>Jordanus, Johannes -- (GND: <a href='http://d-nb.info/gnd/121191125/'>121191125</a>)</span>",<a href='https://opacplus.bsb-muenchen.de/title/BV022272041'>https://opacplus.bsb-muenchen.de/title/BV022272041</a>,,"[S.l.], 15. Jh.",<a href='https://nbn-resolving.org/urn:nbn:de:bvb:12-bsb00008439-4'>urn:nbn:de:bvb:12-bsb00008439-4</a>,246 Bl. - Papier,25.139344064219657,BSB-Hss Clm 18222,"Jordanus, Johannes: Jordani sermonum de tempore pars I [u.a.] - BSB Clm 18222",Latin,"München, Bayerische Staatsbibliothek -- Clm 18222#Mikroform",Buch,,"https://api.digitale-sammlungen.de/iiif/image/v2/bsb00008439_00003/full/280,/0/default.jpg",Jordani sermonum de tempore pars I [u.a.] - BSB Clm 18222,18.82986666666667
,<a href='https://opacplus.bsb-muenchen.de/title/BV022375890'>https://opacplus.bsb-muenchen.de/title/BV022375890</a>,,"[S.l.], 15. Jh.",<a href='https://nbn-resolving.org/urn:nbn:de:bvb:12-bsb00009885-8'>urn:nbn:de:bvb:12-bsb00009885-8</a>,214 Bl. - Pergament,33.300764589602146,BSB-Hss Clm 22022,Psalterium et missale cum notis musicis - BSB Clm 22022,Latin,"München, Bayerische Staatsbibliothek -- Clm 22022",Buch,,"https://api.digitale-sammlungen.de/iiif/image/v2/bsb00009885_00003/full/280,/0/default.jpg",Psalterium et missale cum notis musicis - BSB Clm 22022,25.126950000000004
,<a href='https://opacplus.bsb-muenchen.de/title/BV022379822'>https://opacplus.bsb-muenchen.de/title/BV022379822</a>,,"[S.l.], 15. Jh.",<a href='https://nbn-resolving.org/urn:nbn:de:bvb:12-bsb00009987-2'>urn:nbn:de:bvb:12-bsb00009987-2</a>,213 Bl. - Papier,25.014245770502008,BSB-Hss Clm 5333,Eneas de Picolominibus de his quae sub Friderico III. per Germaniam gesta sunt [u.a.] - BSB Clm 5333,Latin,"München, Bayerische Staatsbibliothek -- Clm 5333#Mikroform",Buch,,"https://api.digitale-sammlungen.de/iiif/image/v2/bsb00009987_00003/full/280,/0/default.jpg",Eneas de Picolominibus de his quae sub Friderico III. per Germaniam gesta sunt [u.a.] - BSB Clm 5333,18.406533333333332
,<a href='https://opacplus.bsb-muenchen.de/title/BV022402876'>https://opacplus.bsb-muenchen.de/title/BV022402876</a>,,"Freising, 15. Jh.",<a href='https://nbn-resolving.org/urn:nbn:de:bvb:12-bsb00010077-4'>urn:nbn:de:bvb:12-bsb00010077-4</a>,58 Bl. - Papier,20.324121163383648,BSB-Hss Clm 535,"Documenta et litterae variae ad episcopatum Frisingensem pertinentia, inter quae complura germanice [u.a.] - BSB Clm 535",Latin,"München, Bayerische Staatsbibliothek -- Clm 535#Mikroform",Buch,,"https://api.digitale-sammlungen.de/iiif/image/v2/bsb00010077_00003/full/280,/0/default.jpg","Documenta et litterae variae ad episcopatum Frisingensem pertinentia, inter quae complura germanice [u.a.] - BSB Clm 535",14.28326666666666
,<a href='https://opacplus.bsb-muenchen.de/title/BV021602529'>https://opacplus.bsb-muenchen.de/title/BV021602529</a>,,"[S.l.] Italien, 15. Jh.",<a href='https://nbn-resolving.org/urn:nbn:de:bvb:12-bsb00003502-6'>urn:nbn:de:bvb:12-bsb00003502-6</a>,127 Bl. - Pergament,18.440568526783334,BSB-Hss Cod.hebr. 408,Sammelhandschrift vorwiegend theologischen Inhalts - BSB Cod.hebr. 408,Hebrew,"München, Bayerische Staatsbibliothek -- Cod.hebr. 408#Mikroform",Buch,,"https://api.digitale-sammlungen.de/iiif/image/v2/bsb00003502_00003/full/280,/0/default.jpg",Sammelhandschrift vorwiegend theologischen Inhalts - BSB Cod.hebr. 408,14.020800000000001
"<span>Alexander V., Papst -- (GND: <a href='http://d-nb.info/gnd/100936032/'>100936032</a>)</span>",<a href='https://opacplus.bsb-muenchen.de/title/BV021608493'>https://opacplus.bsb-muenchen.de/title/BV021608493</a>,Petrus de Candia,"[S.l.], 15. Jh.",<a href='https://nbn-resolving.org/urn:nbn:de:bvb:12-bsb00003574-3'>urn:nbn:de:bvb:12-bsb00003574-3</a>,317 Bl. - Papier,20.353816479347568,BSB-Hss Clm 8453,"Alexander V., Papst: Quaestiones super IV libros Sententiarum - BSB Clm 8453",Latin,"München, Bayerische Staatsbibliothek -- Clm 8453#Mikroform",Buch,,"https://api.digitale-sammlungen.de/iiif/image/v2/bsb00003574_00003/full/280,/0/default.jpg",Quaestiones super IV libros Sententiarum - BSB Clm 8453,14.698133333333333
,<a href='https://opacplus.bsb-muenchen.de/title/BV021827921'>https://opacplus.bsb-muenchen.de/title/BV021827921</a>,,"[S.l.] Deutschland oder Frankreich, Anfang 15. Jh. (?)",<a href='https://nbn-resolving.org/urn:nbn:de:bvb:12-bsb00006547-9'>urn:nbn:de:bvb:12-bsb00006547-9</a>,103 Bl. - Pergament,,BSB-Hss Cod.hebr. 141,Talmud - BSB Cod.hebr. 141,Hebrew,"München, Bayerische Staatsbibliothek -- Cod.hebr. 141",Buch,,"https://api.digitale-sammlungen.de/iiif/image/v2/bsb00006547_00003/full/280,/0/default.jpg",Talmud - BSB Cod.hebr. 141,
,<a href='https://opacplus.bsb-muenchen.de/title/BV021835759'>https://opacplus.bsb-muenchen.de/title/BV021835759</a>,,"[S.l.], 15. Jh.",<a href='https://nbn-resolving.org/urn:nbn:de:bvb:12-bsb00006605-2'>urn:nbn:de:bvb:12-bsb00006605-2</a>,222 Bl. - Papier,20.90339415383382,BSB-Hss Clm 18736,Quatuor evangelia et Pauli epistolae [u.a.] - BSB Clm 18736,Latin,"München, Bayerische Staatsbibliothek -- Clm 18736#Mikroform",Buch,,"https://api.digitale-sammlungen.de/iiif/image/v2/bsb00006605_00003/full/280,/0/default.jpg",Quatuor evangelia et Pauli epistolae [u.a.] - BSB Clm 18736,14.283266666666664
"<span>Ovidius Naso, Publius -- (GND: <a href='http://d-nb.info/gnd/118590995/'>118590995</a>)</span>",<a href='https://opacplus.bsb-muenchen.de/title/BV022191093'>https://opacplus.bsb-muenchen.de/title/BV022191093</a>,,"[S.l.] Italien, 15. Jh.",<a href='https://nbn-resolving.org/urn:nbn:de:bvb:12-bsb00006784-4'>urn:nbn:de:bvb:12-bsb00006784-4</a>,210 Bl. - Papier,27.34998944060839,BSB-Hss Clm 179,"Ovidius Naso, Publius: Ovidii Metamorphoses - BSB Clm 179",Latin,"München, Bayerische Staatsbibliothek -- Clm 179#Mikroform",Buch,,"https://api.digitale-sammlungen.de/iiif/image/v2/bsb00006784_00003/full/280,/0/default.jpg",Ovidii Metamorphoses - BSB Clm 179,18.288000000000004
,<a href='https://opacplus.bsb-muenchen.de/title/BV022546053'>https://opacplus.bsb-muenchen.de/title/BV022546053</a>,,"[S.l.], 15. Jh.",<a href='https://nbn-resolving.org/urn:nbn:de:bvb:12-bsb00013315-2'>urn:nbn:de:bvb:12-bsb00013315-2</a>,269 Bl. - Papier,21.9295098691727,BSB-Hss Clm 26786,Sermones et sermonum themata - BSB Clm 26786,Latin,"München, Bayerische Staatsbibliothek -- Clm 26786",Buch,,"https://api.digitale-sammlungen.de/iiif/image/v2/bsb00013315_00003/full/280,/0/default.jpg",Sermones et sermonum themata - BSB Clm 26786,16.0147
,<a href='https://opacplus.bsb-muenchen.de/title/BV035239717'>https://opacplus.bsb-muenchen.de/title/BV035239717</a>,,"St. Emmeram, Leipzig u.a., um 1400 bis 1479",<a href='https://nbn-resolving.org/urn:nbn:de:bvb:12-bsb00033743-7'>urn:nbn:de:bvb:12-bsb00033743-7</a>,II + I + 443 Bl. - Papier,30.204297611018216,BSB-Hss Clm 14111,Sammelband hauptsächlich astrologischen Inhalts - BSB Clm 14111,Latin,"München, Bayerische Staatsbibliothek -- Clm 14111#Mikroform",Buch,,"https://api.digitale-sammlungen.de/iiif/image/v2/bsb00033743_00003/full/280,/0/default.jpg",Sammelband hauptsächlich astrologischen Inhalts - BSB Clm 14111,22.208066666666667
,<a href='https://opacplus.bsb-muenchen.de/title/BV039673742'>https://opacplus.bsb-muenchen.de/title/BV039673742</a>,,"[S.l.], 14./15. Jh.",<a href='https://nbn-resolving.org/urn:nbn:de:bvb:12-bsb00082396-4'>urn:nbn:de:bvb:12-bsb00082396-4</a>,54 Bl. - Pergament,13.63171936348327,BSB-Hss Cgm 131,Die Tagzeiten von Gottesleichnam (de corpore Christi) - BSB Cgm 131,"German, Middle High (ca.1050-1500)","München, Bayerische Staatsbibliothek -- Cgm 131#Mikroform",Buch,,"https://api.digitale-sammlungen.de/iiif/image/v2/bsb00082396_00003/full/280,/0/default.jpg",Die Tagzeiten von Gottesleichnam (de corpore Christi) - BSB Cgm 131,9.880599999999998
"<span>Albertus, Magnus -- (GND: <a href='http://d-nb.info/gnd/118637649/'>118637649</a>)</span>",<a href='https://opacplus.bsb-muenchen.de/title/BV021516866'>https://opacplus.bsb-muenchen.de/title/BV021516866</a>,Albertus Magnus,"[S.l.], 15. Jh.",<a href='https://nbn-resolving.org/urn:nbn:de:bvb:12-bsb00002347-8'>urn:nbn:de:bvb:12-bsb00002347-8</a>,397 Bl. - Papier,35.31678201433381,BSB-Hss Clm 7432(1,"Albertus, Magnus: Postilla super Lucam - BSB Clm 7432(1",Latin,"München, Bayerische Staatsbibliothek -- Clm 7432(1",Buch,,"https://api.digitale-sammlungen.de/iiif/image/v2/bsb00002347_00003/full/280,/0/default.jpg",Postilla super Lucam - BSB Clm 7432(1,21.74875
,<a href='https://opacplus.bsb-muenchen.de/title/BV035316156'>https://opacplus.bsb-muenchen.de/title/BV035316156</a>,,"[S.l.] Deutschland, vor 1400",<a href='https://nbn-resolving.org/urn:nbn:de:bvb:12-bsb00034975-6'>urn:nbn:de:bvb:12-bsb00034975-6</a>,250 Bl. - Pergament,33.529333977899554,BSB-Hss Cod.hebr. 86,"Rituale für Neujahr, Versöhnungs- und Laubhüttenfest - BSB Cod.hebr. 86",Hebrew,"München, Bayerische Staatsbibliothek -- Cod.hebr. 86",Buch,,"https://api.digitale-sammlungen.de/iiif/image/v2/bsb00034975_00004/full/280,/0/default.jpg","Rituale für Neujahr, Versöhnungs- und Laubhüttenfest - BSB Cod.hebr. 86",25.196799999999996
,<a href='https://opacplus.bsb-muenchen.de/title/BV035379420'>https://opacplus.bsb-muenchen.de/title/BV035379420</a>,,"Bistum Regensburg, um 1400",<a href='https://nbn-resolving.org/urn:nbn:de:bvb:12-bsb00035997-8'>urn:nbn:de:bvb:12-bsb00035997-8</a>,114 Bl. - Papier,32.51828195034237,BSB-Hss Clm 14186,Hagiographische und theologische Texte - BSB Clm 14186,Latin,"München, Bayerische Staatsbibliothek -- Clm 14186#Mikroform",Buch,,"https://api.digitale-sammlungen.de/iiif/image/v2/bsb00035997_00003/full/280,/0/default.jpg",Hagiographische und theologische Texte - BSB Clm 14186,23.012400000000007
